tag,count,percentage
Purandara,30,11.3
Hanuman,25,9.4
Anjaneya,24,9.0
maruti,24,9.0
Hari naama,23,8.6
Rama,20,7.5
Tatva Pada,18,6.8
Shiva,17,6.4
gurustuti,16,6.0
Monday Bhajans,13,4.9
Devi,13,4.9
Bindu Madhava,12,4.5
Tuesday,11,4.1
Friday,9,3.4
Mangala,8,3.0
Belaguru,7,2.6
Sharade,6,2.3
rama,6,2.3
Ganesha,5,1.9
chant,5,1.9
mantra,5,1.9
devotional,5,1.9
Daily Bhajan,4,1.5
Friday Bhajans,4,1.5
Shishunaala Sharifa,4,1.5
Narayana,4,1.5
Saturday,3,1.1
Datta Bhajane,3,1.1
Krishna,3,1.1
Sadguru,2,0.8
Janapada,2,0.8
ayyappa,2,0.8
Devotional,2,0.8
shiva,2,0.8
Chalisa,1,0.4
ಹನುಮಾನ್ಚಾ,1,0.4
ಲೀಸಾ,1,0.4
Dandakam,1,0.4
ಆಂಜನೇಯ,1,0.4
ದಂಡಕಂ,1,0.4
Kannada,1,0.4
English,1,0.4
Saraswathi,1,0.4
sadguru,1,0.4
ಶಿವಾ,1,0.4
ಸೋಮವಾರದ ಭಜನೆಗಳು,1,0.4
devi,1,0.4
rajeshwari,1,0.4
Lakshmi,1,0.4
Venkataramana,1,0.4
Radhe,1,0.4
Thursday,1,0.4
chennabasava,1,0.4
Vijaya Maruti,1,0.4
Bindu madhava,1,0.4
Ashtothara,1,0.4
belaguru,1,0.4
gayatri,1,0.4
krishna,1,0.4
vishnu,1,0.4
narayana,1,0.4
healing,1,0.4
